X_center,Y_center,width,height
521,518,24,38
521,518,24,38
522,518,24,37
525,518,23,36
527,517,23,36
527,517,24,37
525,516,24,39
522,517,24,37
518,518,23,36
512,518,24,37
517,511,24,39
504,513,24,37
498,515,23,36
493,514,23,37
492,514,24,37
491,513,24,39
492,514,24,37
493,513,24,37
492,512,24,39
495,514,24,37
500,515,23,37
509,514,23,37
518,514,23,37
528,516,22,35
538,517,23,36
541,525,22,34
541,532,22,34
545,537,22,35
557,541,22,35
560,540,22,35
577,545,21,34
601,539,22,34
636,532,23,36
669,523,24,37
706,510,24,39
740,501,25,40
772,493,26,41
807,491,25,40
845,490,26,41
858,454,25,40
848,450,26,41
839,447,25,40
837,443,25,40
839,441,25,40
844,441,24,38
848,440,23,37
855,440,22,35
859,440,22,34
867,443,21,33
870,444,20,32
871,446,20,32
866,449,20,32
858,450,20,32
857,451,21,34
858,450,22,35
870,452,21,34
875,449,22,35
884,457,23,37
894,447,24,38
919,456,24,38
934,457,23,37
949,458,23,36
939,445,24,37
954,444,24,37
963,440,24,39
978,439,24,38
986,435,24,39
999,434,25,40
1010,437,24,39
1027,439,25,40
1038,441,25,40
1058,443,24,38
1076,443,24,39
1091,442,25,40
1105,443,25,40
1118,442,26,41
1129,442,25,40
1144,445,25,40
1152,445,24,38
1163,445,23,37
1170,444,24,38
1173,442,24,39
1183,442,25,40
1191,442,25,40
1195,443,24,39
1208,447,24,37
1225,454,23,37
1243,465,22,35
1264,474,23,37
1286,486,24,38
1308,496,24,39
1330,508,24,39
1348,515,24,38
1360,516,24,37
1364,514,23,36
1363,507,24,37
1363,503,24,38
1360,496,23,37
1351,489,24,38
1346,485,24,38
1336,478,24,37
1326,473,24,38
1313,469,23,37
1298,464,23,36
1284,460,23,36
1270,458,23,36
1258,458,23,36
1249,459,22,34
1240,463,23,36
1227,470,22,35
1216,477,23,37
1202,489,23,36
1184,488,23,37
1166,507,23,36
1144,525,24,37
1154,545,24,39
1153,558,25,40
1157,571,25,40
1168,584,24,39
1181,592,25,40
1193,597,25,40
1203,599,25,40
1214,599,26,41
1220,597,26,42
1229,597,25,40
1232,595,25,40
1233,590,25,40
1232,584,25,40
1231,581,26,41
1231,579,25,40
1232,579,24,39
1234,578,25,40
1235,577,26,41
1235,578,26,41
1236,581,25,40
1233,582,25,40
1225,581,24,39
1218,582,24,37
1204,575,24,39
1190,571,25,40
1173,565,25,40
1160,557,24,38
1146,547,24,37
1135,538,24,37
1123,532,23,36
1109,521,24,37
1099,514,24,39
1090,508,25,40
1085,502,24,38
1080,497,24,37
1080,492,24,37
1081,486,24,38
1089,483,23,37
1088,472,24,37
1084,471,23,36
1099,475,23,37
1098,476,23,36
1095,474,23,36
1093,475,23,37
1092,476,23,37
1090,476,24,38
1080,477,24,37
1063,474,24,37
1044,472,24,38
1021,469,25,40
996,468,25,40
967,466,24,39
940,466,24,37
911,462,24,39
883,460,25,40
856,457,24,38
830,454,24,39
805,452,24,38
778,450,23,37
748,446,24,38
715,443,24,37
679,440,24,37
645,433,24,39
615,430,24,38
586,424,25,40
555,420,26,41
527,420,25,40
497,424,24,38
467,426,24,39
435,432,25,40
402,437,25,40
376,447,25,40
356,455,24,38
342,461,24,37
332,465,24,38
326,470,23,37
